Date,GLD,GDX
2015-06-29,113.06999969482422,16.211326599121094
2015-06-30,112.37000274658205,16.084535598754883
2015-07-01,111.9800033569336,15.649816513061523
2015-07-02,111.76000213623048,15.966798782348633
2015-07-06,112.05999755859376,16.166046142578125
2015-07-07,110.76000213623048,15.378118515014648
2015-07-08,111.08999633789062,15.269438743591309
2015-07-09,111.36000061035156,15.332836151123049
2015-07-10,111.48999786376952,15.169818878173828
2015-07-13,110.98999786376952,15.21509838104248
2015-07-14,110.73999786376952,15.11547565460205
2015-07-15,110.16000366210938,14.771326065063477
2015-07-16,109.76000213623048,14.626420021057127
2015-07-17,108.6500015258789,13.965290069580078
2015-07-20,105.6999969482422,12.461892127990724
2015-07-21,105.37000274658205,12.78792953491211
2015-07-22,104.8000030517578,12.751703262329102
